,sentence,target,target_type,category,polarity,opinin_Term
535,I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,scallops,explicit,FOOD QUALITY,positive,like
536,I really like both the scallops and the mahi mahi ( on saffron risotto yum ! ) .,mahi mahi ( on saffron risotto,explicit,FOOD QUALITY,positive,like
537,Try their chef 's specials -- they are to die for .,chef 's specials,explicit,FOOD QUALITY,positive,Try
538,Try their chef 's specials -- they are to die for .,chef 's specials,explicit,FOOD QUALITY,positive,die for
539,"It was the first place we ate on our first trip to New York , and it will be the last place we stop as we head out of town on our next trip to New York .",place,explicit,RESTAURANT MISCELLANEOUS,positive,the last place we stop
540,Personal pans are the perfect size for those hungry nights .,Personal pans,explicit,FOOD STYLE_OPTIONS,positive,perfect
541,IT WAS HORRIBLE .,NULL,implicit,RESTAURANT GENERAL,negative,HORRIBLE
542,"Very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .",bartender,explicit,SERVICE GENERAL,negative,immature
543,"Very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .",service,explicit,SERVICE GENERAL,negative,slowwwww
544,"Very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .",food,explicit,FOOD QUALITY,negative,not fresh or warm
545,"Very immature bartender , didnt know how to make specific drinks , service was so slowwwww , the food was not fresh or warm , waitresses were busy flirting with men at the bar and werent very attentive to all the customers .",waitresses,explicit,SERVICE GENERAL,negative,werent very attentive
546,"The pastas are incredible , the risottos ( particularly the sepia ) are fantastic and the braised rabbit is amazing .",pastas,explicit,FOOD QUALITY,positive,incredible
547,"The pastas are incredible , the risottos ( particularly the sepia ) are fantastic and the braised rabbit is amazing .",risottos,explicit,FOOD QUALITY,positive,fantastic
548,"The pastas are incredible , the risottos ( particularly the sepia ) are fantastic and the braised rabbit is amazing .",sepia,explicit,FOOD QUALITY,positive,fantastic
549,"The pastas are incredible , the risottos ( particularly the sepia ) are fantastic and the braised rabbit is amazing .",braised rabbit,explicit,FOOD QUALITY,positive,amazing
550,amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out ! ! ! !,place,explicit,RESTAURANT GENERAL,positive,check this place out
551,amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out ! ! ! !,hot dog,explicit,FOOD QUALITY,positive,amazing fun
552,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi,explicit,FOOD QUALITY,positive,particular
553,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",ceviche mix ( special ),explicit,FOOD QUALITY,positive,please
554,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",crab dumplings,explicit,FOOD QUALITY,positive,please
555,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",assorted sashimi,explicit,FOOD QUALITY,positive,please
556,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",sushi,explicit,FOOD QUALITY,positive,particular
557,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",rolls,explicit,FOOD QUALITY,positive,please
558,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",two types of sake,explicit,DRINKS QUALITY,positive,please
559,"We are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",banana tempura,explicit,FOOD QUALITY,positive,please
560,"Well , this place is so Ghetto its not even funny .",place,explicit,AMBIENCE GENERAL,negative,Ghetto
561,"Well , this place is so Ghetto its not even funny .",place,explicit,AMBIENCE GENERAL,negative,not even funny
562,We ended our great experience by having Gulab Jamun ( dessert ) recommended by the waiter .,Gulab Jamun ( dessert ),explicit,FOOD QUALITY,positive,great
563,Good food : my favorite is the seafood spaghetti .,food,explicit,FOOD QUALITY,positive,Good
564,Good food : my favorite is the seafood spaghetti .,seafood spaghetti,explicit,FOOD QUALITY,positive,favorite
565,In the end you end up with a fair tab and NOTHING BUT A GREAT TIME ! ! !,NULL,implicit,RESTAURANT PRICES,positive,fair
566,In the end you end up with a fair tab and NOTHING BUT A GREAT TIME ! ! !,NULL,implicit,RESTAURANT GENERAL,positive,GREAT
567,I will go back to Suan soon !,Suan,explicit,RESTAURANT GENERAL,positive,go back
568,Great bagels made the old-fashioned way .,bagels,explicit,FOOD QUALITY,positive,Great
569,Great bagels made the old-fashioned way .,bagels,explicit,FOOD STYLE_OPTIONS,positive,Great
570,Had no flavor and the staff is rude and not attentive .,staff,explicit,SERVICE GENERAL,negative,rude
571,Had no flavor and the staff is rude and not attentive .,staff,explicit,SERVICE GENERAL,negative,not attentive
572,Had no flavor and the staff is rude and not attentive .,NULL,implicit,FOOD QUALITY,negative,no flavor
573,The design of the space is good .,space,explicit,AMBIENCE GENERAL,positive,good
574,"I have tried to make reservations , but both times , the hostess didn't have my name .",hostess,explicit,SERVICE GENERAL,negative,didn't have my name
575,"When you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside .",main dining room,explicit,AMBIENCE GENERAL,positive,spectacular
576,"When you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside .",ceiling,explicit,AMBIENCE GENERAL,positive,spectacular
577,"When you 're sitting in their main dining room ( which has a spectacular , hand-painted high ceiling ) you 'd never know there was a world outside .",ceiling,explicit,AMBIENCE GENERAL,positive,hand-painted high
578,honestly the worst sushi my husband and i had in our entire lives .,sushi,explicit,FOOD QUALITY,negative,worst
579,Big Wong is a great place to eat and fill your stomach .,Big Wong,explicit,RESTAURANT GENERAL,positive,great
580,The drinks are always welll made and wine selection is fairly priced .,drinks,explicit,DRINKS QUALITY,positive,welll made
581,The drinks are always welll made and wine selection is fairly priced .,wine selection,explicit,DRINKS PRICES,positive,fairly priced
582,Service is fast and friendly .,Service,explicit,SERVICE GENERAL,positive,fast
583,Service is fast and friendly .,Service,explicit,SERVICE GENERAL,positive,friendly
584,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,Traditional French decour,explicit,AMBIENCE GENERAL,positive,pleasant
585,Traditional French decour was pleasant though the hall was rather noisy - the restaurant was full and we had to raise our voices to be able to maintain a conversation .,hall,explicit,AMBIENCE GENERAL,negative,noisy
586,This small Astoria souvlaki spot makes what many consider the best gyros in New York .,gyros,explicit,FOOD QUALITY,positive,best
587,The prices are wonderfully low .,NULL,implicit,RESTAURANT PRICES,positive,wonderfully low
588,By the time we finished our dinner we still had not received one beverage NOR hooka !,NULL,implicit,SERVICE GENERAL,negative,still had not received
589,After the 4th time i asked again and the waiter than said after our dinner .,waiter,explicit,SERVICE GENERAL,negative,asked again
590,"im not necessarily fanatical about this place , but it was a fun time for low pirces .",place,explicit,RESTAURANT GENERAL,positive,fanatical
591,"im not necessarily fanatical about this place , but it was a fun time for low pirces .",place,explicit,RESTAURANT PRICES,positive,fanatical
592,BEST DINING EXPERIENCE IN THE WEST VILLAGE !,NULL,implicit,RESTAURANT GENERAL,positive,BEST
593,This was a repeat visit and we 'll definitely be back again .,NULL,implicit,RESTAURANT GENERAL,positive,be back again
594,"The sandwiches are dry , tasteless and way overpriced .",sandwiches,explicit,FOOD QUALITY,negative,dry
595,"The sandwiches are dry , tasteless and way overpriced .",sandwiches,explicit,FOOD QUALITY,negative,tasteless
596,"The sandwiches are dry , tasteless and way overpriced .",sandwiches,explicit,FOOD PRICES,negative,overpriced
597,Go to Volare for 1st class service and terrific food .,service,explicit,SERVICE GENERAL,positive,1st class
598,Go to Volare for 1st class service and terrific food .,food,explicit,FOOD QUALITY,positive,terrific
599,"The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these .",dosas,explicit,FOOD STYLE_OPTIONS,negative,skimpy
600,"The dosas are skimpy , unattractive and drip with grease , and personally I 'd drink popcorn topping before I 'd eat another one of these .",dosas,explicit,FOOD QUALITY,negative,unattractive
601,Would NEVER go back,NULL,implicit,RESTAURANT GENERAL,negative,NEVER go back
602,Definately check it out ! ! !,NULL,implicit,RESTAURANT GENERAL,positive,check it out
603,"whoever the jazz duo was , they were on POINT .",jazz duo,explicit,AMBIENCE GENERAL,positive,on POINT
604,We didn't want a bottle of bubbly on a weekday so we each got little bottles of Korbett it was just enough .,bottles of Korbett,explicit,DRINKS STYLE_OPTIONS,positive,enough
605,Favorite Sushi in NYC,Sushi,explicit,FOOD QUALITY,positive,Favorite
606,"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,explicit,SERVICE GENERAL,negative,dissappointed
607,"Both times I was extremely dissappointed by the service , which was boarderline rude .",service,explicit,SERVICE GENERAL,negative,rude
608,Mermaid Inn is an overall good restaurant with really good seafood .,seafood,explicit,FOOD QUALITY,positive,good
609,Mermaid Inn is an overall good restaurant with really good seafood .,Mermaid Inn,explicit,RESTAURANT GENERAL,positive,good
610,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !",food,explicit,FOOD QUALITY,negative,our wallets were empy and so were our stomachs
611,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !",NULL,implicit,RESTAURANT PRICES,negative,left our wallets were empy
612,"By the time we left our wallets were empy and so were our stomachs AND we missed the show we were supposed to see following our dinner , which would have been acceptable if we got to enjoy the experience of good food and belly dancers !",NULL,implicit,RESTAURANT MISCELLANEOUS,negative,missed
613,"Have recommended the place to friends , always gets good response .",place,explicit,RESTAURANT MISCELLANEOUS,positive,recommended
614,The combination of super-fresh ingredients in the dishes are unusual but really delicious .,ingredients,explicit,FOOD QUALITY,positive,super-fresh
615,The combination of super-fresh ingredients in the dishes are unusual but really delicious .,ingredients,explicit,FOOD QUALITY,positive,delicious
616,I am reluctant to write because I would not want my jem of a pizza place to become overcrowded .,pizza place,explicit,RESTAURANT MISCELLANEOUS,positive,overcrowded
617,I recieved prompt service with a smile .,service,explicit,SERVICE GENERAL,positive,prompt
618,"Try the crunchy tuna , it is to die for .",crunchy tuna,explicit,FOOD QUALITY,positive,Try
619,"Try the crunchy tuna , it is to die for .",crunchy tuna,explicit,FOOD QUALITY,positive,die for
620,You will find yourself returning quite often .,NULL,implicit,RESTAURANT GENERAL,positive,returning quite often
621,Baluchi 's has solid food and a nice decor at reasonable prices .,food,explicit,FOOD QUALITY,positive,solid
622,Baluchi 's has solid food and a nice decor at reasonable prices .,decor,explicit,AMBIENCE GENERAL,positive,nice
623,Baluchi 's has solid food and a nice decor at reasonable prices .,Baluchi 's,explicit,RESTAURANT PRICES,positive,solid
624,"Service here was great , food was fantastic .",Service,explicit,SERVICE GENERAL,positive,great
625,"Service here was great , food was fantastic .",food,explicit,FOOD QUALITY,positive,fantastic
626,Great Shabu Shabu,Shabu Shabu,explicit,FOOD QUALITY,positive,Great
627,When the main course finally arrived ( another 45mins ) half of our order was missing .,NULL,implicit,SERVICE GENERAL,negative,missing
628,I loved it and would HIGHLY RECOMMEND .,NULL,implicit,RESTAURANT GENERAL,positive,loved
629,I loved it and would HIGHLY RECOMMEND .,NULL,implicit,RESTAURANT GENERAL,positive,HIGHLY RECOMMEND
630,"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",spot,explicit,AMBIENCE GENERAL,positive,unpretentious
631,"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",sushi,explicit,FOOD QUALITY,positive,good
632,"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",service,explicit,SERVICE GENERAL,positive,pleasant
633,"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",service,explicit,SERVICE GENERAL,positive,effective
634,"An unpretentious spot in Park Slope , the sushi is consistently good , the service is pleasant , effective and unassuming .",service,explicit,SERVICE GENERAL,positive,unassuming
635,"In the summer months , the back garden area is really nice .",back garden area,explicit,AMBIENCE GENERAL,positive,nice
636,the all-u-can-eat sushi is definitely in very poor quality .,all-u-can-eat sushi,explicit,FOOD QUALITY,negative,poor quality
637,"I highly recommend the fish tacos , everything else was ok .",fish tacos,explicit,FOOD QUALITY,positive,recommend
638,"I highly recommend the fish tacos , everything else was ok .",NULL,implicit,FOOD QUALITY,neutral,ok
639,It is definitely a good spot for snacks and chat .,spot,explicit,RESTAURANT GENERAL,positive,good
640,I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .,four course prix fix menu,explicit,FOOD QUALITY,positive,enjoyed
641,I book a gorgeous white organza tent which included a four course prix fix menu which we enjoyed a lot .,white organza tent,explicit,AMBIENCE GENERAL,positive,gorgeous
642,"I would recommend Roxy 's for that , but not for their food .",food,explicit,FOOD QUALITY,negative,recommend
643,"I would recommend Roxy 's for that , but not for their food .",NULL,implicit,FOOD QUALITY,negative,not for their food
644,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",mussles,explicit,FOOD QUALITY,negative,fishiest
645,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",seabass,explicit,FOOD QUALITY,negative,bland
646,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",goat cheese salad,explicit,FOOD QUALITY,negative,missing
647,"The mussles were the fishiest things I 've ever tasted , the seabass was bland , the goat cheese salad was missing the goat cheese , the penne w/ chicken had bones in it ... It was disgusting .",penne w/ chicken,explicit,FOOD QUALITY,negative,disgusting
648,Make sure you try this place as often as you can .,place,explicit,RESTAURANT GENERAL,positive,try
649,"I am not a vegetarian but , almost all the dishes were great .",dishes,explicit,FOOD QUALITY,positive,great
650,Great food and the prices are very reasonable .,food,explicit,FOOD QUALITY,positive,Great
651,Great food and the prices are very reasonable .,NULL,implicit,RESTAURANT PRICES,positive,reasonable
652,Prices are very good .,NULL,implicit,RESTAURANT PRICES,positive,good
653,Go here for a romantic dinner but not for an all out wow dining experience .,NULL,implicit,AMBIENCE GENERAL,positive,romantic
654,I definitely wouldn 't go back .,NULL,implicit,RESTAURANT GENERAL,negative,wouldn 't go back
655,The wine list is extensive and impressive .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,extensive
656,The wine list is extensive and impressive .,wine list,explicit,DRINKS STYLE_OPTIONS,positive,impressive
657,Wine list is extensive without being over-priced .,Wine list,explicit,DRINKS STYLE_OPTIONS,positive,extensive without being over-priced
658,Wine list is extensive without being over-priced .,Wine list,explicit,DRINKS PRICES,positive,extensive without being over-priced
659,"We recently decided to try this location , and to our delight , they have outdoor seating , perfect since I had my yorkie with me .",outdoor seating,explicit,AMBIENCE GENERAL,positive,perfect
660,The food was ok and fair nothing to go crazy .,food,explicit,FOOD QUALITY,neutral,ok
661,"I also ordered the Change Mojito , which was out of this world .",Change Mojito,explicit,DRINKS QUALITY,positive,out of this world
662,( Always ask the bartender for the SEASONAL beer ! ! !,SEASONAL beer,explicit,DRINKS QUALITY,positive,Always ask
663,"The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",meat,explicit,FOOD QUALITY,positive,fresh
664,"The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",sauces,explicit,FOOD QUALITY,positive,great
665,"The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",service,explicit,SERVICE GENERAL,positive,good
666,"The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",kimchi,explicit,FOOD PRICES,positive,free
667,"The meat is fresh , the sauces are great , you get kimchi and a salad free with your meal and service is good too .",salad,explicit,FOOD PRICES,positive,free
668,The pizza was great .,pizza,explicit,FOOD QUALITY,positive,great
669,This is the best sushi in new york city - hands down .,sushi,explicit,FOOD QUALITY,positive,best
670,"The food here is rather good , but only if you like to wait for it .",food,explicit,FOOD QUALITY,positive,good
671,"The food here is rather good , but only if you like to wait for it .",NULL,implicit,SERVICE GENERAL,negative,wait for it
672,Raymond the bartender rocks !,Raymond,explicit,SERVICE GENERAL,positive,rocks
673,Too bad the food wasn't of the same heritage .,food,explicit,FOOD QUALITY,negative,bad
674,The staff offers impeccable service .,staff,explicit,SERVICE GENERAL,positive,impeccable
675,I had the Lamb special which was perfect .,Lamb special,explicit,FOOD QUALITY,positive,perfect
676,Waitstaff are very friendly .,Waitstaff,explicit,SERVICE GENERAL,positive,friendly
677,"The portion sizes here are huge , and the sushi is good .",portion sizes,explicit,FOOD STYLE_OPTIONS,positive,huge
678,"The portion sizes here are huge , and the sushi is good .",sushi,explicit,FOOD QUALITY,positive,good
679,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese ... both very tasty .,Caesar Salad,explicit,FOOD QUALITY,positive,Enjoyed
680,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese ... both very tasty .,Caesar Salad,explicit,FOOD QUALITY,positive,nice
681,Enjoyed a very nice Caesar Salad while my wife had arugula and goat cheese ... both very tasty .,arugula and goat cheese,explicit,FOOD QUALITY,positive,tasty
682,"We concluded with tiramisu chocolate cake , both were delicious .",tiramisu chocolate cake,explicit,FOOD QUALITY,positive,delicious
683,I will NEVER return .,NULL,implicit,RESTAURANT GENERAL,negative,NEVER return
684,The food 's as good as ever .,food,explicit,FOOD QUALITY,positive,good
685,"The rest of the dim sum , though pricey by Chinatown standards , is worth it .",dim sum,explicit,FOOD PRICES,negative,pricey
686,"The rest of the dim sum , though pricey by Chinatown standards , is worth it .",dim sum,explicit,FOOD QUALITY,positive,worth
687,Beef noodle soup is good as well .,Beef noodle soup,explicit,FOOD QUALITY,positive,good
688,cirspy crust margherita pizza,margherita pizza,explicit,FOOD QUALITY,positive,cirspy crust
689,"Great food , amazing service , this place is a class act .",food,explicit,FOOD QUALITY,positive,Great
690,"Great food , amazing service , this place is a class act .",service,explicit,SERVICE GENERAL,positive,amazing
691,"Great food , amazing service , this place is a class act .",place,explicit,RESTAURANT GENERAL,positive,class act
692,"All the various Greek and Cypriot dishes are excellent , but the gyro is the reason to come -- if you don't eat one your trip was wasted .",Greek and Cypriot dishes,explicit,FOOD QUALITY,positive,excellent
693,"All the various Greek and Cypriot dishes are excellent , but the gyro is the reason to come -- if you don't eat one your trip was wasted .",gyro,explicit,FOOD QUALITY,positive,the reason to come
694,Fresh ingredients and everything is made to order .,ingredients,explicit,FOOD QUALITY,positive,Fresh
695,"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad se ew chicken,explicit,FOOD QUALITY,positive,delicious
696,"the pad se ew chicken was delicious , however the pad thai was far too oily .",pad thai,explicit,FOOD QUALITY,negative,oily
697,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu,explicit,FOOD QUALITY,positive,worth
698,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu,explicit,FOOD STYLE_OPTIONS,positive,worth
699,The Prix Fixe menu is worth every penny and you get more than enough ( both in quantity AND quality ) .,Prix Fixe menu,explicit,FOOD PRICES,positive,worth
700,It ’ s just you and your date and an occasional cute ‘ excuse me ’ before the waiter opens the little curtain to your booth !,waiter,explicit,SERVICE GENERAL,positive,cute
701,Nice for one time special occasion .,NULL,implicit,RESTAURANT MISCELLANEOUS,positive,Nice
702,Somehow working the italian charm with constant mille grazie does not constitute proper service .,service,explicit,SERVICE GENERAL,negative,not constitute proper
703,"they were dry and disgusting , i didn't even finish my first piece .",NULL,implicit,FOOD QUALITY,negative,dry
704,"they were dry and disgusting , i didn't even finish my first piece .",NULL,implicit,FOOD QUALITY,negative,disgusting
705,It is a lot of fun with live entertainment and all kinds of Disney type special effects .,NULL,implicit,AMBIENCE GENERAL,positive,fun
706,"Nice atmosphere , the service was very pleasant and the desert was good .",atmosphere,explicit,AMBIENCE GENERAL,positive,Nice
707,"Nice atmosphere , the service was very pleasant and the desert was good .",service,explicit,SERVICE GENERAL,positive,pleasant
708,"Nice atmosphere , the service was very pleasant and the desert was good .",desert,explicit,FOOD QUALITY,positive,good
709,"After that she simply took our plates , walked away , came back another TWENTY minutes later with the bill and the chicken on it ! ! ! ! ! ! ! ! ! ! ! !",NULL,implicit,SERVICE GENERAL,negative,TWENTY minutes later
710,"it's just average , just shredded , no seasoning on it .",NULL,implicit,FOOD QUALITY,negative,average
711,"it's just average , just shredded , no seasoning on it .",NULL,implicit,FOOD QUALITY,negative,shredded
712,"it's just average , just shredded , no seasoning on it .",NULL,implicit,FOOD QUALITY,negative,no seasoning
713,Nice Family owned traditional restaurant .,restaurant,explicit,RESTAURANT GENERAL,positive,traditional
714,"An awesome organic dog , and a conscious eco friendly establishment .",dog,explicit,FOOD QUALITY,positive,organic
715,"An awesome organic dog , and a conscious eco friendly establishment .",establishment,explicit,RESTAURANT MISCELLANEOUS,positive,eco friendly
716,I highly recommend this beautiful place .,place,explicit,AMBIENCE GENERAL,positive,recommend
717,I highly recommend this beautiful place .,place,explicit,RESTAURANT GENERAL,positive,beautiful
718,Less than three minutes passed before I found myself doubled over the toilet .,NULL,implicit,FOOD QUALITY,negative,doubled over the toilet
719,"Not much of a selection of bottled beer either , we went with Brahma .",selection of bottled beer,explicit,DRINKS STYLE_OPTIONS,negative,Not much
720,"however , it's the service that leaves a bad taste in my mouth .",service,explicit,SERVICE GENERAL,negative,bad taste
721,They should have called it mascarpone with chocolate chips-good but a far cry from what the name implies .,NULL,implicit,FOOD QUALITY,negative,a far cry
722,This place has the best Chinese style BBQ ribs in the city .,BBQ ribs,explicit,FOOD QUALITY,positive,best
723,This place has the best Chinese style BBQ ribs in the city .,BBQ ribs,explicit,FOOD STYLE_OPTIONS,positive,best
724,The best !,NULL,implicit,RESTAURANT GENERAL,positive,best
725,This place survives on reputation alone .,place,explicit,RESTAURANT MISCELLANEOUS,negative,survives on reputation alone
726,"The decor is night tho ... but they REALLY need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",ceiling,explicit,AMBIENCE GENERAL,negative,un-appetizing
727,"The decor is night tho ... but they REALLY need to clean that vent in the ceiling ... its quite un-appetizing , and kills your effort to make this place look sleek and modern .",vent,explicit,AMBIENCE GENERAL,negative,un-appetizing
728,"The waiter was attentive , the food was delicious and the views of the city were great .",waiter,explicit,SERVICE GENERAL,positive,attentive
729,"The waiter was attentive , the food was delicious and the views of the city were great .",food,explicit,FOOD QUALITY,positive,delicious
730,"The waiter was attentive , the food was delicious and the views of the city were great .",views of the city,explicit,LOCATION GENERAL,positive,great
731,"Ambience is delightful , service impeccable .",Ambience,explicit,AMBIENCE GENERAL,positive,delightful
732,"Ambience is delightful , service impeccable .",service,explicit,SERVICE GENERAL,positive,impeccable
733,The only thing that strikes you is the decor ? ( not very pleasant ) .,decor,explicit,AMBIENCE GENERAL,negative,not very pleasant
734,"Delicate spices , onions , eggs and a kick-ass roti .",spices,explicit,FOOD QUALITY,positive,Delicate
735,"Delicate spices , onions , eggs and a kick-ass roti .",onions,explicit,FOOD QUALITY,positive,Delicate
736,"Delicate spices , onions , eggs and a kick-ass roti .",eggs,explicit,FOOD QUALITY,positive,Delicate
737,"Delicate spices , onions , eggs and a kick-ass roti .",roti,explicit,FOOD QUALITY,positive,kick-ass
738,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",food,explicit,FOOD QUALITY,positive,delicious
739,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",halibut special,explicit,FOOD QUALITY,positive,delicious
740,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",steak,explicit,FOOD QUALITY,positive,delicious
741,"The food was delicious ( I had a halibut special , my husband had steak ) , and the service was top-notch .",service,explicit,SERVICE GENERAL,positive,top-notch
742,"The wait staff is very freindly , they make it feel like you 're eating in a freindly little european town .",wait staff,explicit,SERVICE GENERAL,positive,freindly
743,Big thumbs up !,NULL,implicit,RESTAURANT GENERAL,positive,thumbs up
744,I have been to Rao 's probably 15 times the past 3 years and it keeps getting better .,Rao 's,explicit,RESTAURANT GENERAL,positive,better
745,"Bukhara Grill , the tagline says it all . . `` INDIAN SPICE RAVE ``",Bukhara Grill,explicit,RESTAURANT GENERAL,positive,RAVE
746,MY husbands birthday and my sons was not as it was intended ... and we drove two hours to spend too much money to be treated terribly !,NULL,implicit,RESTAURANT PRICES,negative,too much money
747,MY husbands birthday and my sons was not as it was intended ... and we drove two hours to spend too much money to be treated terribly !,NULL,implicit,SERVICE GENERAL,negative,treated terribly
748,"The atmosphere was pretty nice but had a bit lacking , which it tries to make up for with a crazy scheme of mirrors .",atmosphere,explicit,AMBIENCE GENERAL,negative,nice
749,"The atmosphere was pretty nice but had a bit lacking , which it tries to make up for with a crazy scheme of mirrors .",scheme of mirrors,explicit,AMBIENCE GENERAL,negative,crazy
750,"It was served with skin , over a bed of extremely undercooked spinach and mashed potatoes .",NULL,implicit,FOOD STYLE_OPTIONS,negative,served with skin
751,"It was served with skin , over a bed of extremely undercooked spinach and mashed potatoes .",spinach,explicit,FOOD QUALITY,negative,undercooked
752,"This place has totally weird decor , stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ...",decor,explicit,AMBIENCE GENERAL,negative,weird
753,"This place has totally weird decor , stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ...",mirrored walls,explicit,AMBIENCE GENERAL,negative,dizzy
754,"This place has totally weird decor , stairs going up with mirrored walls - I am surprised how no one yet broke their head or fall off the stairs - mirrored walls make you dizzy and delusional ...",mirrored walls,explicit,AMBIENCE GENERAL,negative,delusional
755,"The food is amazing , rich pastas and fresh doughy pizza .",food,explicit,FOOD QUALITY,positive,amazing
756,"The food is amazing , rich pastas and fresh doughy pizza .",pastas,explicit,FOOD STYLE_OPTIONS,positive,rich
757,"The food is amazing , rich pastas and fresh doughy pizza .",pizza,explicit,FOOD QUALITY,positive,fresh doughy
758,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",menu,explicit,FOOD STYLE_OPTIONS,negative,limited
759,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",ingredients,explicit,FOOD QUALITY,negative,no-so-fresh
760,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",fish,explicit,FOOD STYLE_OPTIONS,negative,thinly-sliced
761,"limited menu , no-so-fresh ingredients , thinly-sliced fish , fall-apart rice .",rice,explicit,FOOD STYLE_OPTIONS,negative,fall-apart
762,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",somosas,explicit,FOOD QUALITY,positive,like
763,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chai,explicit,FOOD QUALITY,positive,like
764,"I like the somosas , chai , and the chole , but the dhosas and dhal were kinda dissapointing .",chole,explicit,FOOD QUALITY,positive,like
